tenure,TotalCharges,MonthlyCharges,PaymentMethod_Electronic check,Contract_Two year,InternetService_Fiber optic,PaperlessBilling_Yes,gender_Male,OnlineSecurity_Yes,Contract_One year,Partner_Yes,MultipleLines_Yes,TechSupport_Yes,Dependents_Yes,OnlineBackup_Yes
-1.1147282801182177,-0.8365044671657157,0.5042861484510788,True,False,True,False,False,False,False,False,False,False,False,False
-1.1958844299632747,-0.9077419070684984,0.7241891470889775,True,False,True,True,False,False,False,False,False,False,False,False
-1.1958844299632747,-0.9095741008688148,0.33729214196665935,False,False,True,True,False,False,False,True,True,False,False,False
1.1170658406208545,1.110332316656322,0.5158599904846523,False,False,False,False,False,False,True,False,True,True,False,False
-0.8306817556605175,-0.5151289498578159,1.1226599942448703,False,False,True,True,False,True,False,False,False,True,False,False
1.3199562152334972,-0.4283178626523428,-1.5079089593859372,False,True,False,False,False,False,False,True,False,False,False,False
-0.5872133061253461,-0.8519690553136253,-1.519482801419511,True,False,False,False,True,False,False,False,False,False,False,False
-0.9929940553506318,-0.7842433201947826,-0.028110585093308608,False,False,False,False,False,False,False,False,False,True,False,False
-0.059698332132474476,-0.7255694949227417,-1.47153402728042,False,True,False,False,True,False,False,False,False,False,False,False
1.3605342901560258,-0.269680416108271,-1.3161138628295743,False,True,False,True,False,False,False,False,True,False,False,False
-1.277040579808332,-0.9952073492026561,-1.47153402728042,False,False,False,True,True,False,False,False,False,False,False,False
-0.4249010064352317,-0.8198184164842617,-1.499641929361956,False,False,False,False,True,False,True,False,False,False,False,False
1.441690440001083,-0.3825348294753859,-1.469880621275624,False,True,False,False,False,False,False,False,False,False,False,False
-0.5466352312028174,-0.584076147510203,-0.5075983264842161,False,False,False,True,False,False,False,True,False,False,True,False
-1.1958844299632747,-0.9776706371139121,-1.49798852335716,False,False,False,False,False,False,False,True,False,False,True,False
1.6040027396911973,1.649542589723282,0.6712801549354983,True,True,False,True,True,True,False,True,True,False,False,True
-1.277040579808332,-0.9802880568286501,-0.34060431999979657,True,False,False,True,False,False,False,False,False,False,False,False
-1.277040579808332,-0.9954909030050858,-1.4930283053427713,False,False,False,False,False,False,False,False,False,False,False,False
1.6040027396911973,2.3450346315910493,1.385551549007471,False,False,True,True,False,True,True,True,True,False,False,True
-0.26258870674511736,-0.21888066181139987,0.1504572634246848,False,False,False,True,False,True,False,False,True,False,False,True
-1.1958844299632747,-0.9381257875904139,-0.4728768003834952,False,False,False,True,False,False,False,False,True,False,False,False
1.5634246647686687,1.7627896160476075,0.8250469133815482,False,True,False,False,False,True,False,True,True,True,True,True
0.4272385669378685,-0.09841391944058885,-0.5257857925369748,False,False,False,True,False,False,False,False,False,False,False,False
-0.7089475308929317,-0.8712507138788611,-1.4930283053427713,False,False,False,False,True,False,True,False,False,False,False,False
